"rank","provider","product","category","markets","headline_metric","amount_limit","term","fx_fee","atm_fee","cashback_reward","best_for","pros","watch_out","provider_url","url_type","url_verified_at"
"DE-3","Smava","Smava Loan Marketplace","loans","DE","0.69%–19.9% APR","€500–€120,000","12–144 months","-","-","-","Compare DE lenders","50+ lenders compared; soft check before hard pull; rate guarantee.","Aggregator — final rate set by underlying lender.","https://www.smava.de/kredit/","CATEGORY_LANDING",""
"FR-1","Cofidis","Prêt Personnel Cofidis","loans","FR; ES; IT; PT","Variable APR","€1,000–€35,000","12–84 months","-","-","-","Established FR lender","Established consumer lender; fast decisions online.","APR varies significantly; high end for low-credit applicants.","https://www.cofidis.fr/credit-personnel.html","CATEGORY_LANDING",""
"FR-2","Cetelem","Prêt Personnel Cetelem","loans","FR; IT; ES; PT","Variable APR","€500–€75,000","12–84 months","-","-","-","BNP-backed lending","BNP Paribas-owned; large origination volume; multiple product tiers.","Rates not always transparent upfront; check TAEG.","https://www.cetelem.fr/credit-personnel","PRODUCT",""
"IT-1","Findomestic","Prestito Personale","loans","IT","Variable APR","€1,000–€30,000","12–84 months","-","-","-","Top IT consumer lender","BNP-owned; widely available in Italy; fast online approval.","Rate varies; check TAEG carefully.","https://www.findomestic.it/prestiti/prestito-personale","PRODUCT",""
"IT-2","Agos","Agos Prestito Personale","loans","IT","Variable APR","€1,000–€30,000","12–84 months","-","-","-","CA-backed IT loans","Crédit Agricole joint venture; strong distribution in IT.","Complex product range; compare TAEG carefully.","https://www.agos.it/prestiti/prestito-personale","PRODUCT",""
"ES-1","Cofidis España","Préstamo Proyecto","loans","ES","Variable APR","€3,000–€30,000","24–96 months","-","-","-","Fast Spanish loan","Instant decision online; established brand in Spain.","High end of APR range for lower credit scores.","https://www.cofidis.es/es/prestamos/prestamo-proyecto.html","PRODUCT",""
"UK-1","Zopa","Zopa Personal Loan","loans","UK","9.9%–29.9% APR","£1,000–£25,000","12–60 months","-","-","-","Top UK digital lender","Soft eligibility check; good rates for good credit; FCA authorised.","High APR for poor credit; no joint loans.","https://www.zopa.com/loans","PRODUCT",""
"UK-2","Lendable","Lendable Personal Loan","loans","UK","12.9%–34.9% APR","£1,000–£25,000","12–60 months","-","-","-","Fast UK decision","5-minute decision; same-day funding available.","Higher APR than bank loans; for those declined elsewhere.","https://www.lendable.co.uk/loans","PRODUCT",""
"UK-3","M&S Bank","M&S Personal Loan","loans","UK","6.9%–19.9% APR","£1,000–£25,000","12–84 months","-","-","M&S points","Loyalty + good rates","M&S Sparks points with loan; competitive mid-market APR.","M&S Sparks membership expected; rate varies.","https://bank.marksandspencer.com/loans/","PRODUCT",""
"PT-1","Cofidis Portugal","Crédito Pessoal","loans","PT","Variable APR","€1,000–€35,000","12–84 months","-","-","-","Established PT lender","Well-known brand in Portugal; fully online application.","APR can be high; compare with Cetelem.","https://www.cofidis.pt/credito-pessoal/","PRODUCT",""
"NL-1","Lender&Spender","Persoonlijke Lening","loans","NL","Variable APR","€2,500–€75,000","12–120 months","-","-","-","Transparent NL lender","Fully online; transparent pricing; AFM authorised.","Rate depends on credit; not the cheapest for all profiles.","https://www.lenderspender.nl/persoonlijke-lening/","PRODUCT",""
"INT-1","Klarna","Pay in 3 / Pay Later","bnpl","UK; DE; FR; IT; ES; NL; PT","0% (Pay in 3)","Up to €1,000","3 instalments / 30 days","-","-","-","World's largest BNPL","Accepted at 500,000+ EU retailers; smooth UX; instant approval.","Late fees apply; overspending risk; affects credit file in some markets.","https://www.klarna.com/uk/customer-service/pay-later/","CATEGORY_LANDING",""
"INT-2","PayPal","Pay in 3","bnpl","UK; DE; FR; IT; ES","0% interest","£30–£2,000","3 months","-","-","-","PayPal ecosystem BNPL","Available wherever PayPal is accepted; no hard credit check.","Only 3 instalments; limited to PayPal merchants.","https://www.paypal.com/uk/digital-wallet/ways-to-pay/buy-now-pay-later","PRODUCT",""
"FR-1","Alma","Pay in 3 / Pay in 4","bnpl","FR; ES; IT; BE; NL","0% (buyer-facing)","€50–€30,000","3–12 instalments","-","-","-","EU merchant BNPL","Merchant-funded; wide range of instalments including monthly plans.","Availability depends on merchant; not as widely accepted as Klarna.","https://www.getalma.eu/fr/paiement-fractionne","PRODUCT",""
"IT-1","Scalapay","Pay in 3 / Pay in 4","bnpl","IT; FR; ES; PT; DE; NL","0% interest","Up to €1,500","3–4 instalments","-","-","-","Southern EU BNPL","Strong in Italy, France, Spain; 7,000+ merchants; fast checkout.","Limited outside listed markets; smaller network than Klarna.","https://www.scalapay.com/it/come-funziona","PRODUCT",""
"FR-2","Oney","Oney 3x4x","bnpl","FR; ES; IT; PT","0%–1.5% fee","€100–€6,000","3–4 instalments","-","-","-","Retail-embedded BNPL","Deeply embedded in French and Spanish retail; BNP-owned.","Small service fee (not always 0%); check at checkout.","https://www.oney.fr/paiement-en-plusieurs-fois","PRODUCT",""
"DE-1","Ratepay","Ratepay Installments","bnpl","DE; AT","0% (merchant-funded)","-","3–36 months","-","-","-","German BNPL","Dominant in DACH e-commerce; invoice and instalment options.","Not consumer-facing brand; dependent on merchant integration.","https://www.ratepay.com/zahlungsmethoden/","PRODUCT",""
"UK-1","Clearpay","Pay in 4","bnpl","UK; FR; IT; ES","0% interest","Up to £600","4 instalments / 6 weeks","-","-","-","Fashion & lifestyle UK","Strong UK brand; popular with fashion retailers; no interest ever.","Late fee of £6; low spending limits initially.","https://www.clearpay.co.uk/en-GB/how-it-works","PRODUCT",""
"DE-1","Trade Republic","ETF Savings Plans","investments","DE; FR; IT; ES; NL; PT; INT","€1 minimum / €1 order fee","-","Flexible","0%","-","-","Cheapest EU investing","€1 minimum savings plan; 1 cent per trade; 8,000+ ETFs and stocks.","Mobile-only; no advanced charting tools.","https://traderepublic.com/en-de/etf-savings-plans","PRODUCT",""
"INT-1","DEGIRO","Stocks & ETFs","investments","DE; FR; IT; ES; NL; PT; UK","€1–3/trade","-","Flexible","0.10% + €2.50","-","-","Low-cost EU brokerage","€1 per ETF order; 50+ exchanges; 18 EU countries; web + app.","FX fee applies; no ISA wrapper (UK); custody risk disclosure.","https://www.degiro.com/fees","PRICING",""
"INT-2","Trading 212","Invest & ISA","investments","UK; DE; FR; IT; ES; NL","0% commission","-","Flexible","0.15%","-","-","Commission-free EU stocks","0% commission on stocks/ETFs; ISA wrapper for UK; pie investing.","0.15% FX fee; CFD section not for beginners.","https://www.trading212.com/invest","PRODUCT",""
"DE-2","Scalable Capital","Scalable Broker","investments","DE; AT; FR; IT; ES; NL","€0.99/trade or flat €4.99/mo","-","Flexible","0%","-","-","Robo + DIY investing DE","Commission-free on PRIME+; robo-advisory option; 2% on cash.","PRIME subscription needed for best deal.","https://de.scalable.capital/broker","PRODUCT",""
"INT-3","eToro","Stocks + ETFs + Copy Trading","investments","INT","0% commission (stocks)","-","Flexible","1.50% USD conversion","-","-","Social/copy investing","Copy top investors automatically; 3,000+ stocks commission-free.","Withdrawal fee $5; 1.5% FX on USD-denominated stocks.","https://www.etoro.com/investing/","PRODUCT",""
"UK-1","Hargreaves Lansdown","Stocks & Shares ISA","investments","UK","0.45% platform fee","£20,000/yr (ISA)","Flexible","1.00%","-","-","UK's trusted ISA","Best UK customer service; widest fund range; FSCS protected.","0.45% annual fee is expensive for large portfolios.","https://www.hl.co.uk/investment-services/isa","CATEGORY_LANDING",""
"UK-2","Vanguard Investor","Vanguard Index Funds + ETFs","investments","UK","0.15% platform cap","-","Flexible","-","-","-","Index fund passive investing","Lowest platform cap at 0.15% (£375/yr max); own funds at 0.07%+.","Vanguard funds only; limited stock-picking.","https://www.vanguardinvestor.co.uk/investments","CATEGORY_LANDING",""
"INT-4","XTB","xStation Stocks & ETFs","investments","DE; FR; IT; ES; NL; PT; UK","0% commission (up to €100k/mo)","-","Flexible","0.50%","-","-","Active EU trader","0% commission to €100k/mo; xStation 5 is excellent platform.","0.2% fee above €100k/mo; CFDs included — caution.","https://www.xtb.com/en/offer/stocks-and-etfs","PRODUCT",""
"INT-5","Lightyear","Stocks + ETFs + Cash","investments","UK; DE; FR; IT; ES; NL","0% commission + 4%+ on cash","-","Flexible","0.35%","-","-","Earn while investing","0% commission; 4%+ on uninvested cash; multi-currency accounts.","Newer platform; limited fund selection vs HL.","https://lightyear.com/gb/invest","PRODUCT",""
"INT-1","Interactive Brokers","IBKR Pro / Lite","trading","INT","€0.05–1.25/trade","-","-","0.002%","-","-","Pro multi-asset trading","Lowest margin rates; 135 markets; pro-grade tools; FX at interbank.","Complex platform; inactivity fee on small accounts.","https://www.interactivebrokers.com/en/trading/tws.php","PRODUCT",""
"UK-1","IG","IG Trading Platform","trading","UK; DE; FR; IT; ES; NL","Variable spread","-","-","Variable","-","-","CFDs + shares UK","Most established UK CFD broker; 17,000+ markets; ISA + SIPP.","CFDs carry high risk; 76% of retail accounts lose.","https://www.ig.com/uk/trading-platforms","CATEGORY_LANDING",""
"INT-2","Saxo","SaxoTraderGO / Pro","trading","INT","€1+ per trade","-","-","0.50%","-","-","Premium multi-asset","71,000+ instruments; professional-grade tools; bonds and futures.","High minimum deposit; expensive for small portfolios.","https://www.home.saxo/platforms","CATEGORY_LANDING",""
"INT-3","XTB","xStation 5","trading","UK; DE; FR; IT; ES; NL; PT","0% commission (to €100k/mo)","-","-","0.50%","-","-","Active EU trader","Award-winning platform; 0% on stocks to €100k/mo; FX + CFDs.","CFDs high risk; 0.2% above €100k/mo threshold.","https://www.xtb.com/en/platforms","PRODUCT",""
"INT-4","eToro","CopyTrader","trading","INT","0% commission (stocks)","-","-","1.50%","-","-","Copy trading","Copy top traders automatically; social feed; 3,000+ markets.","Withdrawal fee $5; FX fee on USD pairs.","https://www.etoro.com/copytrader/","PRODUCT",""
"INT-5","CMC Markets","CMC Next Generation","trading","UK; DE; FR; IT; ES; NL","Variable spread","-","-","Variable","-","-","Advanced charting","Next Gen platform rated best for charting; 12,000+ instruments.","CFDs only; 70%+ of retail accounts lose.","https://www.cmcmarkets.com/en/trading-platforms/next-generation","PRODUCT",""
"INT-1","Kraken","Kraken Exchange","crypto","INT","0.16%–0.26% maker/taker","-","-","0%","-","-","Most trusted exchange","Top security record; 200+ assets; Pro platform for advanced trading.","UI can be complex for beginners; no ISA wrapper.","https://www.kraken.com/features/fee-schedule","PRICING",""
"INT-2","Coinbase","Coinbase / Advanced Trade","crypto","INT","0.6% (standard) / 0.05% (Advanced)","-","-","0%","-","-","Easiest EU crypto onramp","Largest fiat-to-crypto gateway; regulated in EU; USDC earning.","Standard fees high; switch to Advanced Trade to cut cost.","https://www.coinbase.com/explore","CATEGORY_LANDING",""
"AT-1","Bitpanda","Bitpanda Crypto","crypto","DE; FR; IT; ES; NL; PT; INT","1.49% (Bitpanda) / 0.10% (Pro)","-","-","0%","-","-","Best EU-regulated exchange","Austrian-regulated; stocks + ETFs + crypto + metals in one app.","Standard spread high; use Bitpanda Pro for serious trading.","https://www.bitpanda.com/en/crypto","PRODUCT",""
"NL-1","Bitvavo","Bitvavo Exchange","crypto","NL; DE; FR; IT; ES; PT","0.15%–0.25% maker/taker","-","-","0%","-","-","Best EU-local exchange","Dutch-registered; strong EUR pairs; low fees; staking available.","Smaller liquidity than global exchanges for altcoins.","https://bitvavo.com/en/fees","PRICING",""
"INT-3","Binance","Binance Exchange","crypto","INT","0.10% maker/taker","-","-","0%","-","-","Largest exchange globally","Deepest liquidity; 350+ assets; lowest base fees; staking.","Regulatory challenges in some EU countries; complex for beginners.","https://www.binance.com/en/trade/BTC_EUR","PRODUCT",""
"INT-4","Revolut","Revolut Crypto","crypto","UK; DE; FR; IT; ES; NL; PT","1.49% (Standard) / 0% (Metal+)","-","-","0%","-","-","In-app crypto for non-traders","No separate account needed; 100+ coins inside Revolut app.","High spread on Standard; not a real exchange (custody risk).","https://www.revolut.com/cryptocurrency-app/","PRODUCT",""
"DE-1","N26","N26 Crypto (via Bitpanda)","crypto","DE; FR; IT; ES; NL; PT","1.49% spread","-","-","0%","-","-","Crypto inside N26 app","Bitpanda-powered; convenient for existing N26 users.","Powered by Bitpanda with higher fees than standalone Bitpanda Pro.","https://n26.com/en-eu/crypto","PRODUCT",""
"INT-5","eToro","eToro Crypto","crypto","INT","1% spread","-","-","0%","-","-","Social crypto investing","Copy crypto traders; 70+ coins; regulated in EU (CySEC).","Higher spread than dedicated exchanges; $5 withdrawal fee.","https://www.etoro.com/crypto/","PRODUCT",""
"DE-1","HUK24","HUK24 Kfz-Versicherung","insurance","DE","Variable","-","Annual","-","-","-","Best-value DE car insurance","Top-rated direct car insurer in Germany; highly competitive premium.","Online-only; limited for unusual risk profiles.","https://www.huk24.de/kfz-versicherung.html","PRODUCT",""
"DE-2","Allianz Direct","Allianz Direct Auto","insurance","DE; ES; IT; NL","Variable","-","Annual","-","-","-","Digital Allianz insurance","Full Allianz brand backing; digital-first pricing; fast claims.","Not always cheapest; Allianz brand commands premium.","https://www.allianzdirect.de/autoversicherung/","PRODUCT",""
"UK-1","Admiral","Admiral Car Insurance","insurance","UK","Variable","-","Annual","-","-","-","Multi-car UK","Multi-car discount up to 25%; established FCA authorised.","Rates vary; always compare at renewal.","https://www.admiral.com/car-insurance","PRODUCT",""
"INT-1","WorldNomads","Travel Insurance","insurance","INT","Variable","Medical: up to $10M","Per trip / Annual","-","-","-","Travel insurance INT","Covers 200+ activities; buy while already travelling; widely accepted.","Adventure sports have exclusions; read T&Cs carefully.","https://www.worldnomads.com/travel-insurance/","PRODUCT",""
"INT-2","AXA","AXA Travel Insurance","insurance","FR; DE; IT; ES; UK","Variable","-","Per trip / Annual","-","-","-","Blue-chip travel cover","AXA brand; strong claims handling; annual multi-trip options.","Not always cheapest; compare before buying.","https://www.axa.com/en/insurance/travel-insurance","PRODUCT",""
"INT-1","PayPal","PayPal Wallet","wallets","INT","0% P2P (EUR)","-","-","3–4% international","-","-","Most accepted e-wallet","Accepted at 30M+ merchants; buyer protection; 200+ countries.","International FX fee 3-4%; currency conversion spread.","https://www.paypal.com/uk/digital-wallet/","PRODUCT",""
"ES-1","Bizum","Bizum","wallets","ES","0% P2P","€500/transaction","-","0%","-","-","Instant Spanish P2P","Integrated into all Spanish banking apps; instant; free.","Spain-only; no international transfers.","https://bizum.es/que-es-bizum/","CATEGORY_LANDING",""
"IT-1","Satispay","Satispay","wallets","IT","0% under €10","-","-","0%","-","Cashback at partners","Italian P2P & retail","Accepted in 300,000+ Italian shops; P2P free; cashback offers.","Italy-focused; limited use outside Italy.","https://www.satispay.com/it-it/uso-personale/","PRODUCT",""
"NL-1","Tikkie","Tikkie","wallets","NL","0% for consumers","-","-","0%","-","-","Dutch bill splitting","Most-used bill-splitting app in NL; instant iDEAL settlement.","NL-only; requires Dutch bank account.","https://www.tikkie.me/wat-is-tikkie","PRODUCT",""
"NL-2","iDEAL","iDEAL Checkout","wallets","NL","0% consumer fee","-","-","0%","-","-","Dutch online checkout","Standard Dutch online payment rail; instant settlement; universal.","NL only; not a standalone wallet — bank account required.","https://www.ideal.nl/en/consumer/","CATEGORY_LANDING",""
"PT-1","MB Way","MB Way","wallets","PT","0% P2P","€500/day","-","0%","-","-","Portuguese P2P standard","Universal in Portugal; accepted for P2P, online, and in-store.","PT-only; limits apply per day.","https://www.mbway.pt/o-que-e/","CATEGORY_LANDING",""
"INT-2","Wero","Wero by EPI","wallets","FR; DE; BE; NL","0% P2P","-","-","0%","-","-","European P2P successor","EPI-backed successor to giropay and Paylib; growing EU rollout.","Still rolling out; not yet universally available.","https://wero-wallet.eu/","CATEGORY_LANDING",""
"FR-1","Lydia","Lydia App","wallets","FR","0% P2P","-","-","0%","-","-","French P2P leader","Most popular French P2P app; instant transfers; Lydia Blue/Black plans.","France-focused; FX fee for international transfers.","https://lydia-app.com/fr/","PRODUCT",""
Exported 153 entries.
